trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.8710385479118216}",20,0,-133.80449776912968,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.8701675093639096}",30,0,-115.52554085205342,"{0: 18, 1: 7, 2: 2, 3: 2, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.8692973418545458}",30,15,-46.22675499254615,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.8684280445126912}",20,0,-98.23140828154551,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.8675596164681786}",25,0,-189.36316108417103,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.8666920568517104}",25,0,-127.18099191123727,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.8658253647948586}",20,10,-40.04329358245014,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.8649595394300638}",25,0,-185.25892345005715,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.8640945798906338}",20,0,-36.558768166819014,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.8632304853107431}",20,7,1.307293712353848,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.8623672548254323}",20,12,19.156006956305355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.861504887570607}",25,0,-65.66327057312813,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.8606433826830363}",25,0,-72.4169802706161,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8597827393003532}",20,0,-99.83987383475042,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.8589229565610529}",20,0,-134.67261963410434,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.8580640336044919}",20,3,-38.91537103864927,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.8572059695708873}",25,0,-52.67948807292184,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.8563487636013165}",30,0,-281.67264563834397,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 6}",0
156,False,"{'a': 0.5, 'e': 0.8554924148377152}",20,1,-94.30574114529394,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.8546369224228775}",30,0,-177.58792147040845,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
158,False,"{'a': 0.5, 'e': 0.8537822855004545}",25,0,-66.04021507536004,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.8529285032149541}",25,17,-15.519039736188375,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.8520755747117391}",20,0,-55.10127857544779,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.8512234991370274}",20,0,-224.22501433554135,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.8503722756378904}",25,0,-96.24616031308975,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.8495219033622525}",30,0,-229.8673991405055,"{0: 14, 1: 3, 2: 7, 3: 4, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.8486723814588902}",20,0,-87.64396150742041,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.8478237090774313}",20,0,-53.488103458033066,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.8469758853683539}",25,0,-101.92755032220693,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.8461289094829856}",35,0,-166.2797745554228,"{0: 24, 1: 1, 2: 5, 3: 3, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.8452827805735026}",30,8,-86.87552924400227,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
169,False,"{'a': 0.5, 'e': 0.8444374977929291}",25,0,-122.94635379589643,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.8435930602951361}",20,0,-103.99184369471475,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
171,False,"{'a': 0.5, 'e': 0.842749467234841}",20,8,-37.287451965550744,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.8419067177676062}",25,0,-175.06249748751185,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.8410648110498385}",25,0,-101.94835678259007,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.8402237462387887}",25,0,-144.61697560322912,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.83938352249255}",30,0,-101.28882871462442,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.8385441389700574}",25,0,-90.93674916225453,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.8377055948310873}",35,17,-63.86126845027201,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.8368678892362562}",20,0,-99.75004834820878,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.83603102134702}",25,0,-110.5083946128407,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.8351949903256729}",20,0,-137.29114051655952,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.8343597953353473}",25,8,7.2932069148292715,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.8335254355400119}",35,0,-114.15872093289856,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
183,False,"{'a': 0.5, 'e': 0.832691910104472}",20,0,-69.78772877431466,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
